CASEID,provincp,rpincear,rpagegrp,rpsex,rphighestedp,spincear,spagegrp,spsexp,sphighestedp,ch04toip,ch517toip,y1824toip,m301,m302tot,m308,totexpen
 3400,13,      0, 8,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  20049
 1238,13,      0, 3,2,1,      0,99,9,9,1,0,0,    0,    0,    0,  14947
 3191,13,      0,12,1,2,      0,14,2,2,0,0,0,    0,    0,    0,  29130
 5500,13,  25000, 2,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  31985
 4084,13,      0,12,1,2,      0,99,9,9,0,0,0,    0,    0,    0,  19698
 4349,13,      0, 5,2,1,  27000, 6,1,2,0,0,0,    0,    0,    0,  23293
 1904,13,  25000, 6,2,5,      0,99,9,9,1,0,1,    0,    0,    0,  27785
 4987,13, 130000, 7,1,2, 130000, 7,2,2,0,0,1,    0,    0,    0, 230598
 4683,13,  19000, 9,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  21561
 3888,13,  37000, 9,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  40782
 1404,13,  18000, 2,2,2,      0,99,9,9,1,0,0,    0,    0,    0,  53702
 3786,13,      0, 9,1,1,  15000, 7,2,1,0,0,0,    0,    0,    0,  26481
 2212,13,  16000, 2,1,1,      0, 2,2,1,1,1,0,   20,    0,   20,  30399
 4085,13,      0,10,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  26287
 1719,13,      0, 5,2,1,      0,99,9,9,1,0,1,    0,    0,    0,  11582
 4086,13,      0,14,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  49007
 3303,13,  37000, 6,2,5,  53000, 6,1,2,0,2,1,  470,  250,   80, 102575
 1826,13,   9000, 1,2,2,      0,99,9,9,1,0,2,    0,    0,    0,  30412
 2770,13,  80000, 8,1,7,  45000, 6,2,2,0,0,0,    0,    0,    0, 128223
 3192,13,      0,10,2,1,      0,10,1,1,0,0,0,    0,    0,    0,  27470
 3889,13,  30000, 9,1,1,      0, 9,2,2,0,0,0,    0,    0,    0,  51822
 2704,13,   3500, 5,1,3,   9000, 3,2,3,2,2,0,   25,   25,    0,  32902
 2674,13,  35000, 4,1,2,  50000, 4,2,5,0,3,0, 9000,  500, 8500, 144313
 3193,13,      0,10,1,5,      0,10,2,5,0,0,0,    0,    0,    0,  47457
 3206,13,   6000, 2,2,3, 100000, 3,1,3,1,0,0, 1800,    0, 1800,  97508
 4442,13,  47000, 6,2,7,  43000, 6,1,5,0,0,2, 8100, 2100, 6000, 120724
 3194,13,      0,13,1,2,      0,13,2,2,0,0,0,    0,    0,    0,  31881
 2301,13,  72000, 5,2,5,  40000, 5,1,5,0,2,0,  400,  400,    0,  98529
 2929,13,  80000, 5,1,2,  22000, 5,2,2,0,2,0,  200,  200,    0,  77330
 4383,13, 120000, 5,1,3,      0, 4,2,5,0,2,1,    0,    0,    0, 138180
 2734,13,  29000, 3,1,2,  26000, 2,2,5,1,0,0,    0,    0,    0,  60183
 3401,13,  14000, 7,2,2,  50000, 8,1,3,0,0,0,    0,    0,    0,  80357
 3154,13,  57000, 9,1,8,      0, 8,2,2,0,0,0,    0,    0,    0,  89434
 2333,13,  65000, 4,2,5,  65000, 5,1,5,0,1,0,  300,  300,    0, 151412
 2587,13,  75000, 5,1,3,  60000, 4,2,7,0,2,0,    0,    0,    0, 160518
 3195,13,      0,10,1,2,      0,10,2,1,0,0,0,    0,    0,    0,  67657
 4325,13,  79000, 7,2,2, 110000, 7,1,5,0,0,1, 5990,  550, 4720, 143079
 1915,13,  58000, 5,1,7,      0, 4,2,5,2,0,0,    0,    0,    0,  91796
 4615,13,  35000, 6,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  51541
 2192,13,  47000, 2,2,7,      0, 3,1,3,1,2,0,   50,   50,    0,  80214
 3196,13,      0,11,2,3,      0,11,1,2,0,0,0,    0,    0,    0,  31002
 4869,13,   4800, 4,2,7,  58000, 4,1,5,0,0,0,    0,    0,    0,  57702
 3787,13,  22000, 7,2,5,  27000, 8,1,3,0,0,0,    0,    0,    0,  38389
 4956,13,  11000, 1,1,6,      0,99,9,9,0,0,1, 9700,  700, 9000,  18686
 5501,13,  24000, 3,1,2,      0,99,9,9,0,0,0,    0,    0,    0,  30363
 3197,13,      0,12,1,3,      0,11,2,3,0,0,0,    0,    0,    0,  65067
 2603,13,  22000, 3,2,5,  40000, 4,1,4,0,2,0,  150,  150,    0,  49071
 3379,13,      0, 7,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  20433
